"filename", "language", "JavaScript", "Markdown", "JSON", "YAML", "PostCSS", "HTML", "JavaScript JSX", "comment", "blank", "total"
"f:\My Projects\SnakrX\.eslintrc.cjs", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 1, 51
"f:\My Projects\SnakrX\.github\workflows\ci.yml", "YAML", 0, 0, 0, 178, 0, 0, 0, 0, 37, 215
"f:\My Projects\SnakrX\.prettierrc.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"f:\My Projects\SnakrX\AGENTS.md", "Markdown", 0, 40, 0, 0, 0, 0, 0, 0, 7, 47
"f:\My Projects\SnakrX\README.md", "Markdown", 0, 172, 0, 0, 0, 0, 0, 0, 51, 223
"f:\My Projects\SnakrX\docs\architecture.md", "Markdown", 0, 85, 0, 0, 0, 0, 0, 0, 38, 123
"f:\My Projects\SnakrX\docs\deployment-readiness.md", "Markdown", 0, 68, 0, 0, 0, 0, 0, 0, 25, 93
"f:\My Projects\SnakrX\docs\production-deployment.md", "Markdown", 0, 74, 0, 0, 0, 0, 0, 0, 38, 112
"f:\My Projects\SnakrX\docs\superpowers\plans\2026-03-19-achievement-chain-modal-and-speed-tuning.md", "Markdown", 0, 97, 0, 0, 0, 0, 0, 0, 62, 159
"f:\My Projects\SnakrX\docs\superpowers\specs\2026-03-19-achievement-chain-modal-and-speed-design.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 28, 101
"f:\My Projects\SnakrX\e2e\auth.spec.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"f:\My Projects\SnakrX\e2e\friends.spec.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"f:\My Projects\SnakrX\e2e\game-classic.spec.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"f:\My Projects\SnakrX\e2e\game-modes.spec.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 10, 59
"f:\My Projects\SnakrX\e2e\gameplay.spec.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 8, 39
"f:\My Projects\SnakrX\e2e\global.setup.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 14, 110
"f:\My Projects\SnakrX\e2e\helpers\auth.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 10, 54
"f:\My Projects\SnakrX\e2e\navigation-auth.spec.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"f:\My Projects\SnakrX\e2e\navigation.spec.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"f:\My Projects\SnakrX\e2e\public-pages.spec.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"f:\My Projects\SnakrX\e2e\pwa-and-session.spec.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"f:\My Projects\SnakrX\e2e\pwa-auth.spec.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"f:\My Projects\SnakrX\firebase.json", "JSON", 0, 0, 64, 0, 0, 0, 0, 0, 1, 65
"f:\My Projects\SnakrX\firestore.indexes.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"f:\My Projects\SnakrX\functions\README.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 6, 19
"f:\My Projects\SnakrX\functions\index.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"f:\My Projects\SnakrX\functions\package-lock.json", "JSON", 0, 0, 2738, 0, 0, 0, 0, 0, 1, 2739
"f:\My Projects\SnakrX\functions\package.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"f:\My Projects\SnakrX\functions\src\achievements.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 0, 29, 168
"f:\My Projects\SnakrX\functions\src\admin.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 22, 158
"f:\My Projects\SnakrX\functions\src\admin.test.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 1, 9, 83
"f:\My Projects\SnakrX\functions\src\avatar.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 0, 23, 130
"f:\My Projects\SnakrX\functions\src\avatar.test.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 1, 9, 35
"f:\My Projects\SnakrX\functions\src\friends.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 18, 94
"f:\My Projects\SnakrX\functions\src\games.js", "JavaScript", 364, 0, 0, 0, 0, 0, 0, 0, 53, 417
"f:\My Projects\SnakrX\functions\src\games.test.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 1, 10, 88
"f:\My Projects\SnakrX\functions\src\leaderboards.js", "JavaScript", 437, 0, 0, 0, 0, 0, 0, 0, 66, 503
"f:\My Projects\SnakrX\functions\src\otp.js", "JavaScript", 212, 0, 0, 0, 0, 0, 0, 0, 41, 253
"f:\My Projects\SnakrX\functions\src\otp.test.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 1, 6, 29
"f:\My Projects\SnakrX\functions\src\registration.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 6, 58
"f:\My Projects\SnakrX\functions\src\registration.test.js", "JavaScript", 192, 0, 0, 0, 0, 0, 0, 1, 18, 211
"f:\My Projects\SnakrX\functions\src\registrationCore.js", "JavaScript", 210, 0, 0, 0, 0, 0, 0, 0, 33, 243
"f:\My Projects\SnakrX\functions\src\runtime.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 9, 42
"f:\My Projects\SnakrX\functions\src\shared\achievementCatalog.js", "JavaScript", 263, 0, 0, 0, 0, 0, 0, 0, 31, 294
"f:\My Projects\SnakrX\functions\src\shared\authz.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"f:\My Projects\SnakrX\functions\src\shared\constants.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 2, 83
"f:\My Projects\SnakrX\functions\src\shared\coreUtils.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 15, 82
"f:\My Projects\SnakrX\functions\src\shared\emailUtils.js", "JavaScript", 146, 0, 0, 0, 0, 0, 0, 0, 17, 163
"f:\My Projects\SnakrX\functions\src\shared\gameFinalization.js", "JavaScript", 276, 0, 0, 0, 0, 0, 0, 0, 45, 321
"f:\My Projects\SnakrX\functions\src\shared\gameStats.js", "JavaScript", 430, 0, 0, 0, 0, 0, 0, 0, 72, 502
"f:\My Projects\SnakrX\functions\src\shared\leaderboardCore.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 0, 21, 176
"f:\My Projects\SnakrX\functions\src\shared\leaderboardCore.test.js", "JavaScript", 158, 0, 0, 0, 0, 0, 0, 1, 15, 174
"f:\My Projects\SnakrX\functions\src\shared\leaderboardUtils.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 14, 104
"f:\My Projects\SnakrX\functions\src\shared\observability.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 7, 38
"f:\My Projects\SnakrX\functions\src\shared\profileSeeds.js", "JavaScript", 167, 0, 0, 0, 0, 0, 0, 0, 8, 175
"f:\My Projects\SnakrX\functions\src\shared\publicProfilePayload.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"f:\My Projects\SnakrX\functions\src\shared\publicProfilePayload.test.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 1, 3, 53
"f:\My Projects\SnakrX\functions\src\shared\rateLimitUtils.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 8, 36
"f:\My Projects\SnakrX\functions\src\shared\supportUtils.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 14, 95
"f:\My Projects\SnakrX\functions\src\shared\timeUtils.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 16, 92
"f:\My Projects\SnakrX\functions\src\shared\utils.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"f:\My Projects\SnakrX\functions\src\support.js", "JavaScript", 308, 0, 0, 0, 0, 0, 0, 0, 49, 357
"f:\My Projects\SnakrX\functions\src\support.test.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 1, 9, 59
"f:\My Projects\SnakrX\index.html", "HTML", 0, 0, 0, 0, 0, 70, 0, 0, 7, 77
"f:\My Projects\SnakrX\package-lock.json", "JSON", 0, 0, 11694, 0, 0, 0, 0, 0, 1, 11695
"f:\My Projects\SnakrX\package.json", "JSON", 0, 0, 71, 0, 0, 0, 0, 0, 1, 72
"f:\My Projects\SnakrX\playwright.config.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 2, 33
"f:\My Projects\SnakrX\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"f:\My Projects\SnakrX\scripts\check-coverage.cjs", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 16, 74
